iter	Passed	Remaining
0	172	34381
1	321	31806
2	540	35491
3	669	32797
4	780	30456
5	881	28502
6	1036	28577
7	1146	27522
8	1265	26846
9	1382	26268
10	1502	25808
11	1616	25326
12	1716	24688
13	1808	24028
14	1892	23336
15	1985	22837
16	2092	22523
17	2181	22061
18	2272	21646
19	2362	21262
20	2463	20996
21	2557	20692
22	2656	20445
23	2802	20552
24	2894	20264
25	3011	20152
26	3106	19902
27	3202	19671
28	3291	19408
29	3373	19117
30	3474	18942
31	3570	18747
32	3663	18540
33	3770	18410
34	3851	18156
35	3951	18002
36	4039	17797
37	4123	17580
38	4216	17407
39	4302	17211
40	4391	17032
41	4487	16881
42	4573	16698
43	4670	16558
44	4752	16371
45	4831	16176
46	4913	15996
47	4991	15807
48	5063	15604
49	5140	15421
50	5211	15224
51	5281	15031
52	5354	14849
53	5428	14676
54	5502	14505
55	5575	14337
56	5650	14175
57	5721	14007
58	5784	13823
59	5862	13679
60	5954	13568
61	6042	13449
62	6135	13341
63	6212	13201
64	6300	13086
65	6399	12993
66	6491	12886
67	6618	12847
68	6706	12732
69	6795	12619
70	6892	12523
71	6984	12416
72	7076	12311
73	7173	12215
74	7262	12103
75	7360	12008
76	7458	11914
77	7552	11812
78	7653	11722
79	7744	11616
80	7834	11510
81	7923	11401
82	8012	11295
83	8101	11188
84	8191	11082
85	8279	10974
86	8359	10857
87	8450	10755
88	8542	10654
89	8630	10548
90	8717	10441
91	8805	10337
92	8892	10231
93	8980	10126
94	9074	10029
95	9168	9932
96	9264	9837
97	9348	9729
98	9432	9623
99	9541	9541
100	9630	9439
101	9712	9331
102	9808	9237
103	9890	9130
104	9976	9026
105	10066	8927
106	10153	8825
107	10250	8731
108	10354	8644
109	10443	8545
110	10529	8442
111	10625	8348
112	10705	8242
113	10789	8139
114	10874	8037
115	10958	7935
116	11048	7837
117	11151	7749
118	11246	7654
119	11328	7552
120	11420	7456
121	11507	7357
122	11591	7256
123	11680	7158
124	11770	7062
125	11859	6965
126	11944	6865
127	12080	6795
128	12255	6745
129	12350	6650
130	12431	6548
131	12523	6451
132	12624	6359
133	12722	6266
134	12820	6172
135	12904	6072
136	12990	5973
137	13076	5875
138	13170	5779
139	13269	5687
140	13352	5587
141	13447	5492
142	13538	5396
143	13622	5297
144	13704	5198
145	13792	5101
146	13876	5003
147	13960	4904
148	14057	4811
149	14138	4712
150	14227	4616
151	14305	4517
152	14369	4414
153	14438	4312
154	14507	4211
155	14598	4117
156	14675	4019
157	14746	3920
158	14822	3822
159	14891	3722
160	14965	3625
161	15035	3526
162	15102	3428
163	15174	3330
164	15251	3235
165	15332	3140
166	15419	3046
167	15516	2955
168	15605	2862
169	15698	2770
170	15780	2676
171	15857	2581
172	15934	2486
173	15995	2390
174	16054	2293
175	16112	2197
176	16172	2101
177	16229	2005
178	16289	1911
179	16352	1816
180	16409	1722
181	16464	1628
182	16529	1535
183	16586	1442
184	16648	1349
185	16702	1257
186	16764	1165
187	16824	1073
188	16890	983
189	16949	892
190	17015	801
191	17075	711
192	17134	621
193	17190	531
194	17251	442
195	17310	353
196	17375	264
197	17434	176
198	17492	87
199	17558	0
