event_number,date,N_loss,P_loss,K_loss,N_after,P_after,K_after
1,Jun Week 1,12.91,6.61,5.96,77.09,35.38,37.04
2,Jun Week 2,11.73,5.83,5.48,65.36,29.55,31.56
3,Jun Week 3,10.42,5.04,4.93,54.94,24.51,26.63
4,Jun Week 4,15.77,7.72,7.38,39.17,16.79,19.25
5,Jul Week 1,11.25,5.22,5.38,27.92,11.57,13.87
6,Jul Week 2,7.69,3.41,3.74,20.23,8.16,10.13
7,Jul Week 3,6.64,2.94,3.21,13.59,5.22,6.92
8,Jul Week 4,2.99,1.24,1.48,10.6,3.98,5.44
9,Aug Week 1,3.04,1.25,1.51,7.56,2.73,3.93
10,Aug Week 2,1.21,0.47,0.61,6.35,2.26,3.32
11,Aug Week 3,0.97,0.37,0.49,5.38,1.89,2.83
12,Aug Week 4,0.88,0.34,0.45,4.5,1.55,2.38
13,Sep Week 1,0.46,0.17,0.24,4.04,1.38,2.14
14,Sep Week 2,0.41,0.16,0.21,3.63,1.22,1.93
15,Sep Week 3,0.29,0.11,0.15,3.34,1.11,1.78
