event_number,date,N_loss,P_loss,K_loss,N_after,P_after,K_after
1,Jun Week 1,10.39,4.26,5.06,79.61,37.74,37.94
2,Jun Week 2,10.53,4.11,5.0,69.08,33.63,32.94
3,Jun Week 3,10.26,3.88,4.78,58.82,29.75,28.16
4,Jun Week 4,13.59,6.04,6.62,45.23,23.71,21.54
5,Jul Week 1,11.3,4.88,5.36,33.93,18.83,16.18
6,Jul Week 2,8.7,3.76,4.06,25.23,15.07,12.12
7,Jul Week 3,6.66,3.5,3.26,18.57,11.57,8.86
8,Jul Week 4,3.55,1.82,1.69,15.02,9.75,7.17
9,Aug Week 1,3.47,1.98,1.69,11.55,7.77,5.48
10,Aug Week 2,1.72,0.9,0.8,9.83,6.87,4.68
11,Aug Week 3,1.3,0.75,0.62,8.53,6.12,4.06
12,Aug Week 4,1.13,0.71,0.55,7.4,5.41,3.51
13,Sep Week 1,0.7,0.4,0.32,6.7,5.01,3.19
14,Sep Week 2,0.55,0.36,0.27,6.15,4.65,2.92
15,Sep Week 3,0.36,0.26,0.18,5.79,4.39,2.74
