event_number,date,N_loss,P_loss,K_loss,N_after,P_after,K_after
1,Jun Week 1,11.34,2.94,4.45,78.66,39.06,38.55
2,Jun Week 2,12.32,3.09,4.8,66.34,35.97,33.75
3,Jun Week 3,12.41,3.17,4.9,53.93,32.8,28.85
4,Jun Week 4,13.59,4.59,5.98,40.34,28.21,22.87
5,Jul Week 1,11.93,4.22,5.38,28.41,23.99,17.49
6,Jul Week 2,9.18,3.65,4.39,19.23,20.34,13.1
7,Jul Week 3,5.54,3.25,3.1,13.69,17.09,10.0
8,Jul Week 4,3.1,1.96,1.8,10.59,15.13,8.2
9,Aug Week 1,2.67,2.12,1.7,7.92,13.01,6.5
10,Aug Week 2,1.48,1.14,0.94,6.44,11.87,5.56
11,Aug Week 3,1.01,0.94,0.69,5.43,10.93,4.87
12,Aug Week 4,0.78,0.87,0.58,4.65,10.06,4.29
13,Sep Week 1,0.55,0.56,0.4,4.1,9.5,3.89
14,Sep Week 2,0.37,0.48,0.29,3.73,9.03,3.6
15,Sep Week 3,0.21,0.33,0.18,3.52,8.7,3.42
