rainfall,N,P,K
10,2.97,1.22,1.44
20,5.94,2.44,2.89
30,8.91,3.65,4.33
40,11.88,4.87,5.78
50,14.85,6.09,7.22
60,17.82,7.31,8.67
70,20.79,8.53,10.11
80,23.76,9.74,11.56
90,26.73,10.96,13.0
100,29.7,12.18,14.45
110,31.05,12.39,14.96
120,32.4,12.6,15.48
130,33.75,12.81,16.0
140,35.1,13.02,16.51
150,36.45,13.23,17.03
160,37.8,13.44,17.54
170,39.15,13.65,18.06
180,40.5,13.86,18.58
190,41.85,14.07,19.09
200,43.2,14.28,19.61
210,44.55,14.49,20.12
220,45.9,14.7,20.64
230,47.25,14.91,21.16
240,48.6,15.12,21.67
250,49.95,15.33,22.19
260,51.3,15.54,22.7
270,52.65,15.75,23.22
280,54.0,15.96,23.74
290,55.35,16.17,24.25
300,56.7,16.38,24.77
