Soil,Rainfall_mm,N_Loss,P_Loss,K_Loss,Total_Loss,N_Loss_Pct,P_Loss_Pct,K_Loss_Pct
sandy,25,8.1,2.1,3.18,13.379999999999999,9.0,5.0,7.4
sandy,50,16.2,4.2,6.36,26.759999999999998,18.0,10.0,14.8
sandy,75,24.3,6.3,9.55,40.150000000000006,27.0,15.0,22.2
sandy,100,32.4,8.4,12.73,53.53,36.0,20.0,29.6
sandy,150,45.9,10.08,17.03,73.00999999999999,51.0,24.0,39.6
sandy,200,59.4,11.76,21.33,92.49,66.0,28.0,49.6
loamy,25,7.42,3.04,3.61,14.07,8.25,7.25,8.4
loamy,50,14.85,6.09,7.22,28.159999999999997,16.5,14.5,16.8
loamy,75,22.27,9.14,10.84,42.25,24.75,21.75,25.2
loamy,100,29.7,12.18,14.45,56.33,33.0,29.0,33.6
loamy,150,36.45,13.23,17.03,66.71000000000001,40.5,31.5,39.6
loamy,200,43.2,14.28,19.61,77.09,48.0,34.0,45.6
clay,25,9.22,4.72,4.26,18.200000000000003,10.25,11.25,9.9
clay,50,18.45,9.45,8.51,36.41,20.5,22.5,19.8
clay,75,27.68,14.17,12.77,54.620000000000005,30.75,33.75,29.7
clay,100,36.9,18.9,17.03,72.83,41.0,45.0,39.6
clay,150,39.15,19.53,18.32,77.0,43.5,46.5,42.6
clay,200,41.4,20.16,19.61,81.17,46.0,48.0,45.6
